palabra
python
ordenador
teclado
monitor
raton
internet
programacion
desarrollo
codigo
variable
funcion
bucle
condicional
archivo
datos
servidor
cliente
backend
frontend
framework
software
hardware
sistema
memoria
proceso
aplicacion
redes
seguridad
base
consulta
